	 Testing Card: salvager 
ERROR: NumActions Expected: 321	 Result: 322
ERROR: NumActions Expected: 412	 Result: 413
ERROR: NumActions Expected: 208	 Result: 209
ERROR: NumActions Expected: 6	 Result: 7
ERROR: NumActions Expected: 297	 Result: 298
ERROR: NumActions Expected: 405	 Result: 406
ERROR: NumActions Expected: 128	 Result: 129
ERROR: NumActions Expected: 224	 Result: 225
ERROR: NumActions Expected: 75	 Result: 76
ERROR: NumActions Expected: 337	 Result: 338
ERROR: NumActions Expected: 284	 Result: 285
ERROR: NumActions Expected: 171	 Result: 172
ERROR: NumActions Expected: 141	 Result: 142
ERROR: NumActions Expected: 31	 Result: 32
ERROR: NumActions Expected: 55	 Result: 56
ERROR: NumActions Expected: 342	 Result: 343
ERROR: NumActions Expected: 265	 Result: 266
ERROR: NumActions Expected: 118	 Result: 119
ERROR: NumActions Expected: 135	 Result: 136
ERROR: NumActions Expected: 392	 Result: 393
ERROR: NumActions Expected: 179	 Result: 180
ERROR: NumActions Expected: 37	 Result: 38
ERROR: NumActions Expected: 359	 Result: 360
ERROR: NumActions Expected: 53	 Result: 54
ERROR: NumActions Expected: 45	 Result: 46
ERROR: NumActions Expected: 365	 Result: 366
ERROR: NumActions Expected: 361	 Result: 362
ERROR: NumActions Expected: 186	 Result: 187
ERROR: NumActions Expected: 320	 Result: 321
ERROR: NumActions Expected: 176	 Result: 177
ERROR: NumActions Expected: 7	 Result: 8
ERROR: NumActions Expected: 188	 Result: 189
ERROR: NumActions Expected: 37	 Result: 38
ERROR: NumActions Expected: 402	 Result: 403
ERROR: NumActions Expected: 123	 Result: 124
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 41	 Result: 42
ERROR: NumActions Expected: 19	 Result: 20
ERROR: NumActions Expected: 332	 Result: 333
ERROR: NumActions Expected: 292	 Result: 293
ERROR: NumActions Expected: 167	 Result: 168
ERROR: NumActions Expected: 238	 Result: 239
ERROR: NumActions Expected: 211	 Result: 212
ERROR: NumActions Expected: 17	 Result: 18
ERROR: NumActions Expected: 219	 Result: 220
ERROR: NumActions Expected: 220	 Result: 221
ERROR: NumActions Expected: 476	 Result: 477
ERROR: NumActions Expected: 81	 Result: 82
ERROR: NumActions Expected: 233	 Result: 234
ERROR: NumActions Expected: 171	 Result: 172
ERROR: NumActions Expected: 74	 Result: 75
ERROR: NumActions Expected: 211	 Result: 212
ERROR: NumActions Expected: 325	 Result: 326
ERROR: NumActions Expected: 228	 Result: 229
ERROR: NumActions Expected: 433	 Result: 434
ERROR: NumActions Expected: 101	 Result: 102
ERROR: NumActions Expected: 221	 Result: 222
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 428	 Result: 429
ERROR: NumActions Expected: 362	 Result: 363
ERROR: NumActions Expected: 160	 Result: 161
ERROR: NumActions Expected: 240	 Result: 241
ERROR: NumActions Expected: 370	 Result: 371
ERROR: NumActions Expected: 490	 Result: 491
ERROR: NumActions Expected: 408	 Result: 409
ERROR: NumActions Expected: 28	 Result: 29
ERROR: NumActions Expected: 427	 Result: 428
ERROR: NumActions Expected: 346	 Result: 347
ERROR: NumActions Expected: 284	 Result: 285
ERROR: NumActions Expected: 246	 Result: 247
ERROR: NumActions Expected: 386	 Result: 387
ERROR: NumActions Expected: 234	 Result: 235
ERROR: NumActions Expected: 210	 Result: 211
ERROR: NumActions Expected: 144	 Result: 145
ERROR: NumActions Expected: 60	 Result: 61
ERROR: NumActions Expected: 22	 Result: 23
ERROR: NumActions Expected: 279	 Result: 280
ERROR: NumActions Expected: 453	 Result: 454
ERROR: NumActions Expected: 365	 Result: 366
ERROR: NumActions Expected: 477	 Result: 478
ERROR: NumActions Expected: 339	 Result: 340
ERROR: NumActions Expected: 315	 Result: 316
ERROR: NumActions Expected: 118	 Result: 119
ERROR: NumActions Expected: 144	 Result: 145
ERROR: NumActions Expected: 35	 Result: 36
ERROR: NumActions Expected: -1	 Result: 0
ERROR: NumActions Expected: 317	 Result: 318
ERROR: NumActions Expected: 387	 Result: 388
ERROR: NumActions Expected: 205	 Result: 206
ERROR: NumActions Expected: 458	 Result: 459
ERROR: NumActions Expected: 119	 Result: 120
ERROR: NumActions Expected: 310	 Result: 311
ERROR: NumActions Expected: 210	 Result: 211
ERROR: NumActions Expected: 44	 Result: 45
ERROR: NumActions Expected: 240	 Result: 241
ERROR: NumActions Expected: 316	 Result: 317
ERROR: NumActions Expected: 498	 Result: 499
ERROR: NumActions Expected: 343	 Result: 344
ERROR: NumActions Expected: 303	 Result: 304
ERROR: NumActions Expected: 472	 Result: 473
ERROR: NumActions Expected: 225	 Result: 226
ERROR: NumActions Expected: 289	 Result: 290
ERROR: NumActions Expected: 38	 Result: 39
ERROR: NumActions Expected: 229	 Result: 230
ERROR: NumActions Expected: 411	 Result: 412
ERROR: NumActions Expected: 141	 Result: 142
ERROR: NumActions Expected: 235	 Result: 236
ERROR: NumActions Expected: 141	 Result: 142
ERROR: NumActions Expected: 420	 Result: 421
ERROR: NumActions Expected: 280	 Result: 281
ERROR: NumActions Expected: 451	 Result: 452
ERROR: NumActions Expected: 459	 Result: 460
ERROR: NumActions Expected: 30	 Result: 31
ERROR: NumActions Expected: 476	 Result: 477
ERROR: NumActions Expected: 72	 Result: 73
ERROR: NumActions Expected: 495	 Result: 496
ERROR: NumActions Expected: 293	 Result: 294
ERROR: NumActions Expected: 46	 Result: 47
ERROR: NumActions Expected: 60	 Result: 61
ERROR: NumActions Expected: 443	 Result: 444
ERROR: NumActions Expected: 104	 Result: 105
ERROR: NumActions Expected: 382	 Result: 383
ERROR: NumActions Expected: 9	 Result: 10
ERROR: NumActions Expected: 391	 Result: 392
ERROR: NumActions Expected: 254	 Result: 255
ERROR: NumActions Expected: 241	 Result: 242
ERROR: NumActions Expected: 246	 Result: 247
ERROR: NumActions Expected: 277	 Result: 278
ERROR: NumActions Expected: 106	 Result: 107
ERROR: NumActions Expected: 258	 Result: 259
ERROR: NumActions Expected: 273	 Result: 274
ERROR: NumActions Expected: 444	 Result: 445
ERROR: NumActions Expected: 441	 Result: 442
ERROR: NumActions Expected: 47	 Result: 48
ERROR: NumActions Expected: 194	 Result: 195
ERROR: NumActions Expected: 28	 Result: 29
ERROR: NumActions Expected: 481	 Result: 482
ERROR: NumActions Expected: 105	 Result: 106
ERROR: NumActions Expected: 170	 Result: 171
ERROR: NumActions Expected: 37	 Result: 38
ERROR: NumActions Expected: 211	 Result: 212
ERROR: NumActions Expected: 423	 Result: 424
ERROR: NumActions Expected: 297	 Result: 298
ERROR: NumActions Expected: 416	 Result: 417
ERROR: NumActions Expected: 261	 Result: 262
ERROR: NumActions Expected: 445	 Result: 446
ERROR: NumActions Expected: 166	 Result: 167
ERROR: NumActions Expected: 241	 Result: 242
ERROR: NumActions Expected: 366	 Result: 367
ERROR: NumActions Expected: 11	 Result: 12
ERROR: NumActions Expected: 464	 Result: 465
ERROR: NumActions Expected: 217	 Result: 218
ERROR: NumActions Expected: 456	 Result: 457
ERROR: NumActions Expected: 399	 Result: 400
ERROR: NumActions Expected: 296	 Result: 297
ERROR: NumActions Expected: 19	 Result: 20
ERROR: NumActions Expected: 223	 Result: 224
ERROR: NumActions Expected: 39	 Result: 40
ERROR: NumActions Expected: 312	 Result: 313
ERROR: NumActions Expected: 115	 Result: 116
ERROR: NumActions Expected: 434	 Result: 435
ERROR: NumActions Expected: 477	 Result: 478
ERROR: NumActions Expected: 253	 Result: 254
ERROR: NumActions Expected: 128	 Result: 129
ERROR: NumActions Expected: 0	 Result: 1
ERROR: NumActions Expected: 465	 Result: 466
ERROR: NumActions Expected: 307	 Result: 308
ERROR: NumActions Expected: 226	 Result: 227
ERROR: NumActions Expected: 355	 Result: 356
ERROR: NumActions Expected: 22	 Result: 23
ERROR: NumActions Expected: 281	 Result: 282
ERROR: NumActions Expected: 211	 Result: 212
ERROR: NumActions Expected: 1	 Result: 2
ERROR: NumActions Expected: 87	 Result: 88
ERROR: NumActions Expected: 171	 Result: 172
ERROR: NumActions Expected: 253	 Result: 254
ERROR: NumActions Expected: 135	 Result: 136
ERROR: NumActions Expected: 327	 Result: 328
ERROR: NumActions Expected: 166	 Result: 167
ERROR: NumActions Expected: 260	 Result: 261
ERROR: NumActions Expected: 456	 Result: 457
ERROR: NumActions Expected: 5	 Result: 6
ERROR: NumActions Expected: 68	 Result: 69
ERROR: NumActions Expected: 460	 Result: 461
ERROR: NumActions Expected: 466	 Result: 467
ERROR: NumActions Expected: 246	 Result: 247
ERROR: NumActions Expected: 482	 Result: 483
ERROR: NumActions Expected: 133	 Result: 134
ERROR: NumActions Expected: 288	 Result: 289
ERROR: NumActions Expected: 197	 Result: 198
ERROR: NumActions Expected: 233	 Result: 234
ERROR: NumActions Expected: 474	 Result: 475
ERROR: NumActions Expected: 270	 Result: 271
ERROR: NumActions Expected: 20	 Result: 21
ERROR: NumActions Expected: 134	 Result: 135
ERROR: NumActions Expected: 409	 Result: 410
ERROR: NumActions Expected: 302	 Result: 303
ERROR: NumActions Expected: 458	 Result: 459
ERROR: NumActions Expected: 334	 Result: 335
ERROR: NumActions Expected: 256	 Result: 257
ERROR: NumActions Expected: 356	 Result: 357
ERROR: NumActions Expected: 189	 Result: 190
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 93	 Result: 94
ERROR: NumActions Expected: 298	 Result: 299
ERROR: NumActions Expected: 302	 Result: 303
ERROR: NumActions Expected: 16	 Result: 17
ERROR: NumActions Expected: 396	 Result: 397
ERROR: NumActions Expected: 155	 Result: 156
ERROR: NumActions Expected: 195	 Result: 196
ERROR: NumActions Expected: 337	 Result: 338
ERROR: NumActions Expected: 497	 Result: 498
ERROR: NumActions Expected: 289	 Result: 290
ERROR: NumActions Expected: 263	 Result: 264
ERROR: NumActions Expected: 463	 Result: 464
ERROR: NumActions Expected: 395	 Result: 396
ERROR: NumActions Expected: 432	 Result: 433
ERROR: NumActions Expected: 349	 Result: 350
ERROR: NumActions Expected: 265	 Result: 266
ERROR: NumActions Expected: 287	 Result: 288
ERROR: NumActions Expected: 381	 Result: 382
ERROR: NumActions Expected: 228	 Result: 229
ERROR: NumActions Expected: 411	 Result: 412
ERROR: NumActions Expected: 459	 Result: 460
ERROR: NumActions Expected: 163	 Result: 164
ERROR: NumActions Expected: 135	 Result: 136
ERROR: NumActions Expected: 366	 Result: 367
ERROR: NumActions Expected: 140	 Result: 141
ERROR: NumActions Expected: 281	 Result: 282
ERROR: NumActions Expected: 24	 Result: 25
ERROR: NumActions Expected: 243	 Result: 244
ERROR: NumActions Expected: 274	 Result: 275
ERROR: NumActions Expected: 67	 Result: 68
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 7	 Result: 8
ERROR: NumActions Expected: 410	 Result: 411
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 280	 Result: 281
ERROR: NumActions Expected: 274	 Result: 275
ERROR: NumActions Expected: 124	 Result: 125
ERROR: NumActions Expected: 472	 Result: 473
ERROR: NumActions Expected: 407	 Result: 408
ERROR: NumActions Expected: 199	 Result: 200
ERROR: NumActions Expected: 105	 Result: 106
ERROR: NumActions Expected: 290	 Result: 291
ERROR: NumActions Expected: 90	 Result: 91
ERROR: NumActions Expected: 3	 Result: 4
ERROR: NumActions Expected: 174	 Result: 175
ERROR: NumActions Expected: 362	 Result: 363
ERROR: NumActions Expected: 483	 Result: 484
ERROR: NumActions Expected: 139	 Result: 140
ERROR: NumActions Expected: 65	 Result: 66
ERROR: NumActions Expected: 97	 Result: 98
ERROR: NumActions Expected: 246	 Result: 247
ERROR: NumActions Expected: 354	 Result: 355
ERROR: NumActions Expected: 391	 Result: 392
ERROR: NumActions Expected: 120	 Result: 121
ERROR: NumActions Expected: 339	 Result: 340
ERROR: NumActions Expected: 163	 Result: 164
ERROR: NumActions Expected: 268	 Result: 269
ERROR: NumActions Expected: 150	 Result: 151
ERROR: NumActions Expected: 430	 Result: 431
ERROR: NumActions Expected: 182	 Result: 183
ERROR: NumActions Expected: 412	 Result: 413
ERROR: NumActions Expected: 302	 Result: 303
ERROR: NumActions Expected: 306	 Result: 307
ERROR: NumActions Expected: 425	 Result: 426
ERROR: NumActions Expected: 420	 Result: 421
ERROR: NumActions Expected: 274	 Result: 275
ERROR: NumActions Expected: 423	 Result: 424
ERROR: NumActions Expected: 135	 Result: 136
ERROR: NumActions Expected: 465	 Result: 466
ERROR: NumActions Expected: 402	 Result: 403
ERROR: NumActions Expected: 46	 Result: 47
ERROR: NumActions Expected: 141	 Result: 142
ERROR: NumActions Expected: 131	 Result: 132
ERROR: NumActions Expected: 138	 Result: 139
ERROR: NumActions Expected: 314	 Result: 315
ERROR: NumActions Expected: 321	 Result: 322
ERROR: NumActions Expected: 13	 Result: 14
ERROR: NumActions Expected: 57	 Result: 58
ERROR: NumActions Expected: 105	 Result: 106
ERROR: NumActions Expected: 193	 Result: 194
ERROR: NumActions Expected: 300	 Result: 301
ERROR: NumActions Expected: 415	 Result: 416
ERROR: NumActions Expected: 159	 Result: 160
ERROR: NumActions Expected: 482	 Result: 483
ERROR: NumActions Expected: 36	 Result: 37
ERROR: NumActions Expected: 202	 Result: 203
ERROR: NumActions Expected: 191	 Result: 192
ERROR: NumActions Expected: 497	 Result: 498
ERROR: NumActions Expected: 456	 Result: 457
ERROR: NumActions Expected: 108	 Result: 109
ERROR: NumActions Expected: 290	 Result: 291
ERROR: NumActions Expected: 323	 Result: 324
ERROR: NumActions Expected: 295	 Result: 296
ERROR: NumActions Expected: 360	 Result: 361
ERROR: NumActions Expected: 391	 Result: 392
ERROR: NumActions Expected: 21	 Result: 22
ERROR: NumActions Expected: 308	 Result: 309
ERROR: NumActions Expected: 106	 Result: 107
ERROR: NumActions Expected: 356	 Result: 357
ERROR: NumActions Expected: 269	 Result: 270
ERROR: NumActions Expected: 297	 Result: 298
ERROR: NumActions Expected: 384	 Result: 385
ERROR: NumActions Expected: 323	 Result: 324
ERROR: NumActions Expected: 297	 Result: 298
ERROR: NumActions Expected: 290	 Result: 291
ERROR: NumActions Expected: 201	 Result: 202
ERROR: NumActions Expected: 362	 Result: 363
ERROR: NumActions Expected: 494	 Result: 495
ERROR: NumActions Expected: 491	 Result: 492
ERROR: NumActions Expected: 468	 Result: 469
ERROR: NumActions Expected: 2	 Result: 3
ERROR: NumActions Expected: 318	 Result: 319
ERROR: NumActions Expected: 113	 Result: 114
ERROR: NumActions Expected: 298	 Result: 299
ERROR: NumActions Expected: 144	 Result: 145
ERROR: NumActions Expected: 236	 Result: 237
ERROR: NumActions Expected: 217	 Result: 218
ERROR: NumActions Expected: 159	 Result: 160
ERROR: NumActions Expected: 383	 Result: 384
ERROR: NumActions Expected: 422	 Result: 423
ERROR: NumActions Expected: 11	 Result: 12
ERROR: NumActions Expected: 471	 Result: 472
ERROR: NumActions Expected: 421	 Result: 422
ERROR: NumActions Expected: 246	 Result: 247
ERROR: NumActions Expected: 478	 Result: 479
ERROR: NumActions Expected: 380	 Result: 381
ERROR: NumActions Expected: 59	 Result: 60
ERROR: NumActions Expected: 286	 Result: 287
ERROR: NumActions Expected: 244	 Result: 245
ERROR: NumActions Expected: 47	 Result: 48
ERROR: NumActions Expected: 103	 Result: 104
ERROR: NumActions Expected: 478	 Result: 479
ERROR: NumActions Expected: 343	 Result: 344
ERROR: NumActions Expected: 181	 Result: 182
ERROR: NumActions Expected: 61	 Result: 62
ERROR: NumActions Expected: 360	 Result: 361
ERROR: NumActions Expected: 76	 Result: 77
ERROR: NumActions Expected: 444	 Result: 445
ERROR: NumActions Expected: 220	 Result: 221
ERROR: NumActions Expected: 277	 Result: 278
ERROR: NumActions Expected: 228	 Result: 229
ERROR: NumActions Expected: 41	 Result: 42
ERROR: NumActions Expected: 304	 Result: 305
ERROR: NumActions Expected: 464	 Result: 465
ERROR: NumActions Expected: 175	 Result: 176
ERROR: NumActions Expected: 185	 Result: 186
ERROR: NumActions Expected: 99	 Result: 100
ERROR: NumActions Expected: 309	 Result: 310
ERROR: NumActions Expected: 456	 Result: 457
ERROR: NumActions Expected: 30	 Result: 31
ERROR: NumActions Expected: 289	 Result: 290
ERROR: NumActions Expected: 229	 Result: 230
ERROR: NumActions Expected: 309	 Result: 310
ERROR: NumActions Expected: 480	 Result: 481
ERROR: NumActions Expected: 228	 Result: 229
ERROR: NumActions Expected: 424	 Result: 425
ERROR: NumActions Expected: 163	 Result: 164
ERROR: NumActions Expected: 119	 Result: 120
ERROR: NumActions Expected: 370	 Result: 371
ERROR: NumActions Expected: 84	 Result: 85
ERROR: NumActions Expected: 13	 Result: 14
ERROR: NumActions Expected: 288	 Result: 289
ERROR: NumActions Expected: 111	 Result: 112
ERROR: NumActions Expected: 221	 Result: 222
ERROR: NumActions Expected: 88	 Result: 89
ERROR: NumActions Expected: 360	 Result: 361
ERROR: NumActions Expected: 83	 Result: 84
ERROR: NumActions Expected: 394	 Result: 395
ERROR: NumActions Expected: 24	 Result: 25
ERROR: NumActions Expected: 393	 Result: 394
ERROR: NumActions Expected: 186	 Result: 187
ERROR: NumActions Expected: 464	 Result: 465
ERROR: NumActions Expected: 249	 Result: 250
ERROR: NumActions Expected: 230	 Result: 231
ERROR: NumActions Expected: 102	 Result: 103
ERROR: NumActions Expected: 18	 Result: 19
ERROR: NumActions Expected: 217	 Result: 218
ERROR: NumActions Expected: 113	 Result: 114
ERROR: NumActions Expected: 191	 Result: 192
ERROR: NumActions Expected: 215	 Result: 216
ERROR: NumActions Expected: 238	 Result: 239
ERROR: NumActions Expected: 355	 Result: 356
ERROR: NumActions Expected: 490	 Result: 491
ERROR: NumActions Expected: 175	 Result: 176
ERROR: NumActions Expected: 301	 Result: 302
ERROR: NumActions Expected: 138	 Result: 139
ERROR: NumActions Expected: 88	 Result: 89
ERROR: NumActions Expected: 33	 Result: 34
ERROR: NumActions Expected: 84	 Result: 85
ERROR: NumActions Expected: 71	 Result: 72
ERROR: NumActions Expected: 241	 Result: 242
ERROR: NumActions Expected: 177	 Result: 178
ERROR: NumActions Expected: 273	 Result: 274
ERROR: NumActions Expected: 67	 Result: 68
ERROR: NumActions Expected: 430	 Result: 431
ERROR: NumActions Expected: 393	 Result: 394
ERROR: NumActions Expected: 191	 Result: 192
ERROR: NumActions Expected: 271	 Result: 272
ERROR: NumActions Expected: 155	 Result: 156
ERROR: NumActions Expected: 321	 Result: 322
ERROR: NumActions Expected: 434	 Result: 435
ERROR: NumActions Expected: 460	 Result: 461
ERROR: NumActions Expected: 243	 Result: 244
ERROR: NumActions Expected: 358	 Result: 359
ERROR: NumActions Expected: 324	 Result: 325
ERROR: NumActions Expected: 243	 Result: 244
ERROR: NumActions Expected: 158	 Result: 159
ERROR: NumActions Expected: 378	 Result: 379
ERROR: NumActions Expected: 227	 Result: 228
ERROR: NumActions Expected: 439	 Result: 440
ERROR: NumActions Expected: 373	 Result: 374
ERROR: NumActions Expected: 20	 Result: 21
ERROR: NumActions Expected: 158	 Result: 159
ERROR: NumActions Expected: 344	 Result: 345
ERROR: NumActions Expected: 117	 Result: 118
ERROR: NumActions Expected: 228	 Result: 229
ERROR: NumActions Expected: 70	 Result: 71
ERROR: NumActions Expected: 114	 Result: 115
ERROR: NumActions Expected: 493	 Result: 494
ERROR: NumActions Expected: 115	 Result: 116
ERROR: NumActions Expected: 297	 Result: 298
ERROR: NumActions Expected: 394	 Result: 395
ERROR: NumActions Expected: 387	 Result: 388
ERROR: NumActions Expected: 15	 Result: 16
ERROR: NumActions Expected: 498	 Result: 499
ERROR: NumActions Expected: 107	 Result: 108
ERROR: NumActions Expected: 117	 Result: 118
ERROR: NumActions Expected: 278	 Result: 279
ERROR: NumActions Expected: 164	 Result: 165
ERROR: NumActions Expected: 63	 Result: 64
ERROR: NumActions Expected: 217	 Result: 218
ERROR: NumActions Expected: 299	 Result: 300
ERROR: NumActions Expected: 220	 Result: 221
ERROR: NumActions Expected: 194	 Result: 195
ERROR: NumActions Expected: 208	 Result: 209
ERROR: NumActions Expected: 98	 Result: 99
ERROR: NumActions Expected: 19	 Result: 20
ERROR: NumActions Expected: 109	 Result: 110
ERROR: NumActions Expected: 397	 Result: 398
ERROR: NumActions Expected: 34	 Result: 35
ERROR: NumActions Expected: 220	 Result: 221
ERROR: NumActions Expected: 186	 Result: 187
ERROR: NumActions Expected: 446	 Result: 447
ERROR: NumActions Expected: 396	 Result: 397
ERROR: NumActions Expected: 91	 Result: 92
ERROR: NumActions Expected: 33	 Result: 34
ERROR: NumActions Expected: 273	 Result: 274
ERROR: NumActions Expected: 456	 Result: 457
ERROR: NumActions Expected: 215	 Result: 216
ERROR: NumActions Expected: 20	 Result: 21
ERROR: NumActions Expected: 119	 Result: 120
ERROR: NumActions Expected: 341	 Result: 342
ERROR: NumActions Expected: 191	 Result: 192
ERROR: NumActions Expected: 109	 Result: 110
ERROR: NumActions Expected: 124	 Result: 125
ERROR: NumActions Expected: 364	 Result: 365
ERROR: NumActions Expected: 307	 Result: 308
ERROR: NumActions Expected: 101	 Result: 102
ERROR: NumActions Expected: 485	 Result: 486
ERROR: NumActions Expected: 85	 Result: 86
ERROR: NumActions Expected: 374	 Result: 375
ERROR: NumActions Expected: 495	 Result: 496
ERROR: NumActions Expected: 309	 Result: 310
ERROR: NumActions Expected: 421	 Result: 422
ERROR: NumActions Expected: 412	 Result: 413
ERROR: NumActions Expected: 256	 Result: 257
ERROR: NumActions Expected: 91	 Result: 92
ERROR: NumActions Expected: 151	 Result: 152
ERROR: NumActions Expected: 265	 Result: 266
ERROR: NumActions Expected: 82	 Result: 83
ERROR: NumActions Expected: 64	 Result: 65
ERROR: NumActions Expected: 360	 Result: 361
ERROR: NumActions Expected: 362	 Result: 363
ERROR: NumActions Expected: 82	 Result: 83
ERROR: NumActions Expected: 121	 Result: 122
ERROR: NumActions Expected: 213	 Result: 214
ERROR: NumActions Expected: 493	 Result: 494
ERROR: NumActions Expected: 54	 Result: 55
ERROR: NumActions Expected: 115	 Result: 116
ERROR: NumActions Expected: 229	 Result: 230
ERROR: NumActions Expected: 235	 Result: 236
ERROR: NumActions Expected: 404	 Result: 405
ERROR: NumActions Expected: 446	 Result: 447
ERROR: NumActions Expected: 20	 Result: 21
ERROR: NumActions Expected: 5	 Result: 6
ERROR: NumActions Expected: 94	 Result: 95
ERROR: NumActions Expected: 458	 Result: 459
ERROR: NumActions Expected: 115	 Result: 116
ERROR: NumActions Expected: 364	 Result: 365
ERROR: NumActions Expected: 55	 Result: 56
ERROR: NumActions Expected: 333	 Result: 334
ERROR: NumActions Expected: 7	 Result: 8
ERROR: NumActions Expected: 166	 Result: 167
ERROR: NumActions Expected: 149	 Result: 150
ERROR: NumActions Expected: 52	 Result: 53
ERROR: NumActions Expected: 410	 Result: 411
ERROR: NumActions Expected: 434	 Result: 435
ERROR: NumActions Expected: 488	 Result: 489
ERROR: NumActions Expected: 424	 Result: 425
ERROR: NumActions Expected: 387	 Result: 388
ERROR: NumActions Expected: 348	 Result: 349
ERROR: NumActions Expected: 39	 Result: 40
ERROR: NumActions Expected: 206	 Result: 207
ERROR: NumActions Expected: 108	 Result: 109
ERROR: NumActions Expected: 15	 Result: 16
ERROR: NumActions Expected: 24	 Result: 25
ERROR: NumActions Expected: 317	 Result: 318
ERROR: NumActions Expected: 360	 Result: 361
ERROR: NumActions Expected: 363	 Result: 364
ERROR: NumActions Expected: 443	 Result: 444
ERROR: NumActions Expected: 381	 Result: 382
ERROR: NumActions Expected: 38	 Result: 39
ERROR: NumActions Expected: 148	 Result: 149
ERROR: NumActions Expected: 486	 Result: 487
ERROR: NumActions Expected: 475	 Result: 476
ERROR: NumActions Expected: 53	 Result: 54
ERROR: NumActions Expected: 318	 Result: 319
ERROR: NumActions Expected: 20	 Result: 21
ERROR: NumActions Expected: 141	 Result: 142
ERROR: NumActions Expected: 10	 Result: 11
ERROR: NumActions Expected: 150	 Result: 151
ERROR: NumActions Expected: 239	 Result: 240
ERROR: NumActions Expected: 485	 Result: 486
